2024/04/15 11:03:07 ID: 241, Data: 9C1817003B072F71, Celsius: 24, A: +0.23, rev/s: +5.142,  rev: +80.486
2024/04/15 11:03:07 ID: 241, Data: 9C1823001507EA71, Celsius: 24, A: +0.35, rev/s: +5.036,  rev: +81.006
2024/04/15 11:03:07 ID: 241, Data: 9C181C002B07A572, Celsius: 24, A: +0.28, rev/s: +5.097,  rev: +81.525
2024/04/15 11:03:07 ID: 241, Data: 9C1819002B076073, Celsius: 24, A: +0.25, rev/s: +5.097,  rev: +82.044
2024/04/15 11:03:07 ID: 241, Data: 9C19180002071A74, Celsius: 25, A: +0.24, rev/s: +4.983,  rev: +82.561
2024/04/15 11:03:07 ID: 241, Data: 9C181E004C07D574, Celsius: 24, A: +0.30, rev/s: +5.189,  rev: +83.081
2024/04/15 11:03:07 ID: 241, Data: 9C18270001078F75, Celsius: 24, A: +0.39, rev/s: +4.981,  rev: +83.597
2024/04/15 11:03:07 ID: 241, Data: 9C181B0034074A76, Celsius: 24, A: +0.27, rev/s: +5.122,  rev: +84.117
2024/04/15 11:03:08 ID: 241, Data: 9C181A0020070577, Celsius: 24, A: +0.26, rev/s: +5.067,  rev: +84.636
2024/04/15 11:03:08 ID: 241, Data: 9C181B002A07C077, Celsius: 24, A: +0.27, rev/s: +5.094,  rev: +85.156
2024/04/15 11:03:08 ID: 241, Data: 9C180E0060077D78, Celsius: 24, A: +0.14, rev/s: +5.244,  rev: +85.681
2024/04/15 11:03:08 ID: 241, Data: 9C181D00F7063979, Celsius: 24, A: +0.29, rev/s: +4.953,  rev: +86.203
2024/04/15 11:03:08 ID: 241, Data: 9C1814005307F579, Celsius: 24, A: +0.20, rev/s: +5.208,  rev: +86.725
2024/04/15 11:03:08 ID: 241, Data: 9C183100F506AF7A, Celsius: 24, A: +0.49, rev/s: +4.947,  rev: +87.242
2024/04/15 11:03:08 ID: 241, Data: 9C18120023076C7B, Celsius: 24, A: +0.18, rev/s: +5.075,  rev: +87.767
2024/04/15 11:03:08 ID: 241, Data: 9C181A00FE06267C, Celsius: 24, A: +0.26, rev/s: +4.972,  rev: +88.283
2024/04/15 11:03:08 ID: 241, Data: 9C1811003007E37C, Celsius: 24, A: +0.17, rev/s: +5.111,  rev: +88.808
2024/04/15 11:03:09 ID: 241, Data: 9C18280012079E7D, Celsius: 24, A: +0.40, rev/s: +5.028,  rev: +89.328
2024/04/15 11:03:09 ID: 241, Data: 9C1828000C075B7E, Celsius: 24, A: +0.40, rev/s: +5.011,  rev: +89.853
2024/04/15 11:03:09 ID: 241, Data: 9C1815001A07147F, Celsius: 24, A: +0.21, rev/s: +5.050,  rev: +90.367
2024/04/15 11:03:09 ID: 241, Data: 9C182500F606CD7F, Celsius: 24, A: +0.37, rev/s: +4.950,  rev: +90.881
2024/04/15 11:03:09 ID: 241, Data: 9C182600CD068180, Celsius: 24, A: +0.38, rev/s: +4.836,  rev: -90.664
2024/04/15 11:03:09 ID: 241, Data: 9C18280093063381, Celsius: 24, A: +0.40, rev/s: +4.675,  rev: -90.169
