2024/04/12 15:42:12 ID: 241, Data: 9C1B0C0020000200, Celsius: 27, A: +0.12, rev/s: +0.089,  rev: +0.006
2024/04/12 15:42:12 ID: 241, Data: 9C1B090006000200, Celsius: 27, A: +0.09, rev/s: +0.017,  rev: +0.006
2024/04/12 15:42:12 ID: 241, Data: 9C1B0A001C000200, Celsius: 27, A: +0.10, rev/s: +0.078,  rev: +0.006
2024/04/12 15:42:12 ID: 241, Data: 9C1B0A00F8FF0200, Celsius: 27, A: +0.10, rev/s: -0.022,  rev: +0.006
2024/04/12 15:42:12 ID: 241, Data: 9C1B09000B000200, Celsius: 27, A: +0.09, rev/s: +0.031,  rev: +0.006
2024/04/12 15:42:12 ID: 241, Data: 9C1B0900F3FF0200, Celsius: 27, A: +0.09, rev/s: -0.036,  rev: +0.006
2024/04/12 15:45:14 ID: 241, Data: 9C1B0E002A000400, Celsius: 27, A: +0.14, rev/s: +0.117,  rev: +0.011
2024/04/12 15:45:14 ID: 241, Data: 9C1B0D009F001200, Celsius: 27, A: +0.13, rev/s: +0.442,  rev: +0.050
2024/04/12 15:45:15 ID: 241, Data: 9C1B080038012D00, Celsius: 27, A: +0.08, rev/s: +0.867,  rev: +0.125
2024/04/12 15:45:15 ID: 241, Data: 9C1B070006025800, Celsius: 27, A: +0.07, rev/s: +1.439,  rev: +0.244
2024/04/12 15:45:15 ID: 241, Data: 9C1B100079029300, Celsius: 27, A: +0.16, rev/s: +1.758,  rev: +0.408
2024/04/12 15:45:15 ID: 241, Data: 9C1B0C001C03DC00, Celsius: 27, A: +0.12, rev/s: +2.211,  rev: +0.611
2024/04/12 15:45:15 ID: 241, Data: 9C1B0600A6033601, Celsius: 27, A: +0.06, rev/s: +2.594,  rev: +0.861
2024/04/12 15:45:15 ID: 241, Data: 9C1B09002E049E01, Celsius: 27, A: +0.09, rev/s: +2.972,  rev: +1.150
2024/04/12 15:45:15 ID: 241, Data: 9C1B0E009D041702, Celsius: 27, A: +0.14, rev/s: +3.281,  rev: +1.486
2024/04/12 15:45:15 ID: 241, Data: 9C1B01007D059D02, Celsius: 27, A: +0.01, rev/s: +3.903,  rev: +1.858
2024/04/12 15:45:15 ID: 241, Data: 9C1B1000F3053003, Celsius: 27, A: +0.16, rev/s: +4.231,  rev: +2.267
2024/04/12 15:45:15 ID: 241, Data: 9C1B05006D06D103, Celsius: 27, A: +0.05, rev/s: +4.569,  rev: +2.714
2024/04/12 15:45:16 ID: 241, Data: 9C1B1500CB067F04, Celsius: 27, A: +0.21, rev/s: +4.831,  rev: +3.197
2024/04/12 15:45:16 ID: 241, Data: 9C1B050072073B05, Celsius: 27, A: +0.05, rev/s: +5.294,  rev: +3.719
2024/04/12 15:45:16 ID: 241, Data: 9C1B0800D8070206, Celsius: 27, A: +0.08, rev/s: +5.578,  rev: +4.272
2024/04/12 15:45:16 ID: 241, Data: 9C1B01007308D606, Celsius: 27, A: +0.01, rev/s: +6.008,  rev: +4.861
2024/04/12 15:45:16 ID: 241, Data: 9C1B0400AA08B507, Celsius: 27, A: +0.04, rev/s: +6.161,  rev: +5.481
2024/04/12 15:45:16 ID: 241, Data: 9C1B1F00CB089C08, Celsius: 27, A: +0.31, rev/s: +6.253,  rev: +6.122
