2024/04/17 13:17:32 ID: 241, Data: 9C47C6026C02EE10, Celsius: 71, A: +7.10, rev/s: +1.722,  rev: +12.039
2024/04/17 13:17:32 ID: 241, Data: 9C47BB0248025711, Celsius: 71, A: +6.99, rev/s: +1.622,  rev: +12.331
2024/04/17 13:17:32 ID: 241, Data: 9C470E0334017F11, Celsius: 71, A: +7.82, rev/s: +0.856,  rev: +12.442
2024/04/17 13:17:32 ID: 241, Data: 9C47C602D701DE11, Celsius: 71, A: +7.10, rev/s: +1.308,  rev: +12.706
2024/04/17 13:17:32 ID: 241, Data: 9C480F011A062912, Celsius: 72, A: +2.71, rev/s: +4.339,  rev: +12.914
2024/04/17 13:17:32 ID: 241, Data: 9C48B1028A016512, Celsius: 72, A: +6.89, rev/s: +1.094,  rev: +13.081
2024/04/17 13:17:33 ID: 241, Data: 9C48B3022102B812, Celsius: 72, A: +6.91, rev/s: +1.514,  rev: +13.311
2024/04/17 13:17:33 ID: 241, Data: 9C48B602DD02ED12, Celsius: 72, A: +6.94, rev/s: +2.036,  rev: +13.458
2024/04/17 13:17:33 ID: 241, Data: 9C488A025B024E13, Celsius: 72, A: +6.50, rev/s: +1.675,  rev: +13.728
2024/04/17 13:17:33 ID: 241, Data: 9C4973023A03B713, Celsius: 73, A: +6.27, rev/s: +2.294,  rev: +14.019
2024/04/17 13:17:33 ID: 241, Data: 9C49CFFFCEFF0A14, Celsius: 73, A: -0.49, rev/s: -0.139,  rev: +14.250
2024/04/17 13:17:33 ID: 241, Data: 9C490F007700B913, Celsius: 73, A: +0.15, rev/s: +0.331,  rev: +14.025
2024/04/17 13:17:33 ID: 241, Data: 9C491300AAFFB313, Celsius: 73, A: +0.19, rev/s: -0.239,  rev: +14.008
2024/04/17 13:17:33 ID: 241, Data: 9C498E013300A713, Celsius: 73, A: +3.98, rev/s: +0.142,  rev: +13.975
2024/04/17 13:17:33 ID: 241, Data: 9C4A05013800B513, Celsius: 74, A: +2.61, rev/s: +0.156,  rev: +14.014
2024/04/17 13:17:33 ID: 241, Data: 9C497600A1FFB613, Celsius: 73, A: +1.18, rev/s: -0.264,  rev: +14.017
