2024/04/15 14:25:13 ID: 241, Data: 9C41D002F5FF25EF, Celsius: 65, A: +7.20, rev/s: -0.031,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C41CE02FEFF25EF, Celsius: 65, A: +7.18, rev/s: -0.006,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C41CF020A0025EF, Celsius: 65, A: +7.19, rev/s: +0.028,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C41CF02F5FF25EF, Celsius: 65, A: +7.19, rev/s: -0.031,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C42D002070025EF, Celsius: 66, A: +7.20, rev/s: +0.019,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C42D002130025EF, Celsius: 66, A: +7.20, rev/s: +0.053,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C42CE02F4FF25EF, Celsius: 66, A: +7.18, rev/s: -0.033,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C42CD02080025EF, Celsius: 66, A: +7.17, rev/s: +0.022,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C42CE02000025EF, Celsius: 66, A: +7.18, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C43CD020E0025EF, Celsius: 67, A: +7.17, rev/s: +0.039,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C43CE020C0025EF, Celsius: 67, A: +7.18, rev/s: +0.033,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C43CE02010025EF, Celsius: 67, A: +7.18, rev/s: +0.003,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C43CE02F3FF25EF, Celsius: 67, A: +7.18, rev/s: -0.036,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C44CC02070025EF, Celsius: 68, A: +7.16, rev/s: +0.019,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C44CD02000025EF, Celsius: 68, A: +7.17, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C44CB02000025EF, Celsius: 68, A: +7.15, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C44CC02060025EF, Celsius: 68, A: +7.16, rev/s: +0.017,  rev: -11.986
2024/04/15 14:25:14 ID: 241, Data: 9C44CC02140025EF, Celsius: 68, A: +7.16, rev/s: +0.056,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C44CD02000025EF, Celsius: 68, A: +7.17, rev/s: +0.000,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C45CC02120025EF, Celsius: 69, A: +7.16, rev/s: +0.050,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C45CC02100025EF, Celsius: 69, A: +7.16, rev/s: +0.044,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C45CD02FEFF25EF, Celsius: 69, A: +7.17, rev/s: -0.006,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C45CB02020025EF, Celsius: 69, A: +7.15, rev/s: +0.006,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C45CD02FBFF25EF, Celsius: 69, A: +7.17, rev/s: -0.014,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C46CA02170025EF, Celsius: 70, A: +7.14, rev/s: +0.064,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C46CB02070025EF, Celsius: 70, A: +7.15, rev/s: +0.019,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C46CA02F6FF25EF, Celsius: 70, A: +7.14, rev/s: -0.028,  rev: -11.986
2024/04/15 14:25:15 ID: 241, Data: 9C46CD020A0025EF, Celsius: 70, A: +7.17, rev/s: +0.028,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C46CA02F6FF25EF, Celsius: 70, A: +7.14, rev/s: -0.028,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C47CA02180025EF, Celsius: 71, A: +7.14, rev/s: +0.067,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C47CB020B0025EF, Celsius: 71, A: +7.15, rev/s: +0.031,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C47CA02FFFF25EF, Celsius: 71, A: +7.14, rev/s: -0.003,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C48CA02050025EF, Celsius: 72, A: +7.14, rev/s: +0.014,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C47CC02030025EF, Celsius: 71, A: +7.16, rev/s: +0.008,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C48CA02FBFF25EF, Celsius: 72, A: +7.14, rev/s: -0.014,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C47C9020D0025EF, Celsius: 71, A: +7.13, rev/s: +0.036,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C48CA02EEFF25EF, Celsius: 72, A: +7.14, rev/s: -0.050,  rev: -11.986
2024/04/15 14:25:16 ID: 241, Data: 9C48CA02160025EF, Celsius: 72, A: +7.14, rev/s: +0.061,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C48CA020D0025EF, Celsius: 72, A: +7.14, rev/s: +0.036,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C48C902F5FF25EF, Celsius: 72, A: +7.13, rev/s: -0.031,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49C9020C0025EF, Celsius: 73, A: +7.13, rev/s: +0.033,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49CB020F0025EF, Celsius: 73, A: +7.15, rev/s: +0.042,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49CA02F3FF25EF, Celsius: 73, A: +7.14, rev/s: -0.036,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49CA02D8FF25EF, Celsius: 73, A: +7.14, rev/s: -0.111,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49CA02F9FF25EF, Celsius: 73, A: +7.14, rev/s: -0.019,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C49C802070025EF, Celsius: 73, A: +7.12, rev/s: +0.019,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C4AC802FDFF25EF, Celsius: 74, A: +7.12, rev/s: -0.008,  rev: -11.986
2024/04/15 14:25:17 ID: 241, Data: 9C4ACC02ECFF25EF, Celsius: 74, A: +7.16, rev/s: -0.056,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4AC802060025EF, Celsius: 74, A: +7.12, rev/s: +0.017,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4AC802FAFF25EF, Celsius: 74, A: +7.12, rev/s: -0.017,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4AC8020A0025EF, Celsius: 74, A: +7.12, rev/s: +0.028,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4AC602FAFF25EF, Celsius: 74, A: +7.10, rev/s: -0.017,  rev: -11.986
2024/04/15 14:25:18 ID: 241, Data: 9C4AC9020D0026EF, Celsius: 74, A: +7.13, rev/s: +0.036,  rev: -11.983
2024/04/15 14:25:18 ID: 241, Data: 9C4BC8020B0026EF, Celsius: 75, A: +7.12, rev/s: +0.031,  rev: -11.983
