2024/04/15 13:49:08 ID: 241, Data: 9C2F0EFF68FFC50B, Celsius: 47, A: -2.42, rev/s: -0.422,  rev: +8.369
2024/04/15 13:49:08 ID: 241, Data: 9C3025FFFCFFC00B, Celsius: 48, A: -2.19, rev/s: -0.011,  rev: +8.356
2024/04/15 13:49:08 ID: 241, Data: 9C2F4BFF2AFFB40B, Celsius: 47, A: -1.81, rev/s: -0.594,  rev: +8.322
2024/04/15 13:49:08 ID: 241, Data: 9C3088FF5BFFA90B, Celsius: 48, A: -1.20, rev/s: -0.458,  rev: +8.292
2024/04/15 13:49:08 ID: 241, Data: 9C3042FFBEFFA10B, Celsius: 48, A: -1.90, rev/s: -0.183,  rev: +8.269
2024/04/15 13:49:08 ID: 241, Data: 9C2FFDFED4FF980B, Celsius: 47, A: -2.59, rev/s: -0.122,  rev: +8.244
2024/04/15 13:49:08 ID: 241, Data: 9C30AEFE6BFF8E0B, Celsius: 48, A: -3.38, rev/s: -0.414,  rev: +8.217
2024/04/15 13:49:08 ID: 241, Data: 9C305EFE36FF820B, Celsius: 48, A: -4.18, rev/s: -0.561,  rev: +8.183
2024/04/15 13:49:08 ID: 241, Data: 9C30D0FD8AFF780B, Celsius: 48, A: -5.60, rev/s: -0.328,  rev: +8.156
2024/04/15 13:49:08 ID: 241, Data: 9C30C3FD18FF690B, Celsius: 48, A: -5.73, rev/s: -0.644,  rev: +8.114
2024/04/15 13:49:09 ID: 241, Data: 9C301EFE91FF590B, Celsius: 48, A: -4.82, rev/s: -0.308,  rev: +8.069
2024/04/15 13:49:09 ID: 241, Data: 9C30FDFE5BFF4C0B, Celsius: 48, A: -2.59, rev/s: -0.458,  rev: +8.033
2024/04/15 13:49:09 ID: 241, Data: 9C30F0FEE3FF470B, Celsius: 48, A: -2.72, rev/s: -0.081,  rev: +8.019
2024/04/15 13:49:09 ID: 241, Data: 9C304FFF30FF3B0B, Celsius: 48, A: -1.77, rev/s: -0.578,  rev: +7.986
2024/04/15 13:49:09 ID: 241, Data: 9C307BFFE9FF300B, Celsius: 48, A: -1.33, rev/s: -0.064,  rev: +7.956
2024/04/15 13:49:09 ID: 241, Data: 9C3062FFDFFF280B, Celsius: 48, A: -1.58, rev/s: -0.092,  rev: +7.933
2024/04/15 13:49:09 ID: 241, Data: 9C3014FFC5FF1F0B, Celsius: 48, A: -2.36, rev/s: -0.164,  rev: +7.908
2024/04/15 13:49:09 ID: 241, Data: 9C3007FF49FF120B, Celsius: 48, A: -2.49, rev/s: -0.508,  rev: +7.872
2024/04/15 13:49:09 ID: 241, Data: 9C3094FED4FF090B, Celsius: 48, A: -3.64, rev/s: -0.122,  rev: +7.847
2024/04/15 13:49:09 ID: 241, Data: 9C3030FE32FFFE0A, Celsius: 48, A: -4.64, rev/s: -0.572,  rev: +7.817
2024/04/15 13:49:10 ID: 241, Data: 9C30B1FD8AFFF20A, Celsius: 48, A: -5.91, rev/s: -0.328,  rev: +7.783
2024/04/15 13:49:10 ID: 241, Data: 9C3092FD2EFFE50A, Celsius: 48, A: -6.22, rev/s: -0.583,  rev: +7.747
2024/04/15 13:49:10 ID: 241, Data: 9C30E0FE02FFCE0A, Celsius: 48, A: -2.88, rev/s: -0.706,  rev: +7.683
2024/04/15 13:49:10 ID: 241, Data: 9C3086FF1300C80A, Celsius: 48, A: -1.22, rev/s: +0.053,  rev: +7.667
2024/04/15 13:49:10 ID: 241, Data: 9C300BFFBCFFC60A, Celsius: 48, A: -2.45, rev/s: -0.189,  rev: +7.661
2024/04/15 13:49:10 ID: 241, Data: 9C3058FFBCFFB70A, Celsius: 48, A: -1.68, rev/s: -0.189,  rev: +7.619
2024/04/15 13:49:10 ID: 241, Data: 9C3027FFBDFFAF0A, Celsius: 48, A: -2.17, rev/s: -0.186,  rev: +7.597
2024/04/15 13:49:10 ID: 241, Data: 9C30E2FE7AFFA50A, Celsius: 48, A: -2.86, rev/s: -0.372,  rev: +7.569
2024/04/15 13:49:10 ID: 241, Data: 9C3081FEB8FF990A, Celsius: 48, A: -3.83, rev/s: -0.200,  rev: +7.536
2024/04/15 13:49:11 ID: 241, Data: 9C30E7FDB1FF900A, Celsius: 48, A: -5.37, rev/s: -0.219,  rev: +7.511
2024/04/15 13:49:11 ID: 241, Data: 9C30CDFDF6FE820A, Celsius: 48, A: -5.63, rev/s: -0.739,  rev: +7.472
2024/04/15 13:49:11 ID: 241, Data: 9C3000FE0FFF720A, Celsius: 48, A: -5.12, rev/s: -0.669,  rev: +7.428
2024/04/15 13:49:11 ID: 241, Data: 9C3007FF8CFF600A, Celsius: 48, A: -2.49, rev/s: -0.322,  rev: +7.378
2024/04/15 13:49:11 ID: 241, Data: 9C30AEFF0B00590A, Celsius: 48, A: -0.82, rev/s: +0.031,  rev: +7.358
2024/04/15 13:49:11 ID: 241, Data: 9C310FFFE5FF580A, Celsius: 49, A: -2.41, rev/s: -0.075,  rev: +7.356
2024/04/15 13:49:11 ID: 241, Data: 9C305BFFEDFF480A, Celsius: 48, A: -1.65, rev/s: -0.053,  rev: +7.311
2024/04/15 13:49:11 ID: 241, Data: 9C3057FFBEFF3F0A, Celsius: 48, A: -1.69, rev/s: -0.183,  rev: +7.286
2024/04/15 13:49:11 ID: 241, Data: 9C305EFF51FF340A, Celsius: 48, A: -1.62, rev/s: -0.486,  rev: +7.256
2024/04/15 13:49:11 ID: 241, Data: 9C30FFFE3AFF290A, Celsius: 48, A: -2.57, rev/s: -0.550,  rev: +7.225
2024/04/15 13:49:12 ID: 241, Data: 9C3074FE93FF200A, Celsius: 48, A: -3.96, rev/s: -0.303,  rev: +7.200
2024/04/15 13:49:12 ID: 241, Data: 9C3027FE58FF150A, Celsius: 48, A: -4.73, rev/s: -0.467,  rev: +7.169
2024/04/15 13:49:12 ID: 241, Data: 9C30F5FD6BFF080A, Celsius: 48, A: -5.23, rev/s: -0.414,  rev: +7.133
2024/04/15 13:49:12 ID: 241, Data: 9C307BFE9AFFF709, Celsius: 48, A: -3.89, rev/s: -0.283,  rev: +7.086
2024/04/15 13:49:12 ID: 241, Data: 9C311EFF73FFEA09, Celsius: 49, A: -2.26, rev/s: -0.392,  rev: +7.050
2024/04/15 13:49:12 ID: 241, Data: 9C3035FFB4FFE209, Celsius: 48, A: -2.03, rev/s: -0.211,  rev: +7.028
2024/04/15 13:49:12 ID: 241, Data: 9C3137FF80FFD809, Celsius: 49, A: -2.01, rev/s: -0.356,  rev: +7.000
2024/04/15 13:49:12 ID: 241, Data: 9C31B0FF7CFFCB09, Celsius: 49, A: -0.80, rev/s: -0.367,  rev: +6.964
2024/04/15 13:49:12 ID: 241, Data: 9C31A3FF4DFFC409, Celsius: 49, A: -0.93, rev/s: -0.497,  rev: +6.944
