2024/04/15 14:49:35 ID: 241, Data: 9C3DD5FCEBFF3A08, Celsius: 61, A: -8.11, rev/s: -0.058,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3DD7FC05003A08, Celsius: 61, A: -8.09, rev/s: +0.014,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3DD7FC13003A08, Celsius: 61, A: -8.09, rev/s: +0.053,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3DD5FCF8FF3A08, Celsius: 61, A: -8.11, rev/s: -0.022,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3DD3FC04003A08, Celsius: 61, A: -8.13, rev/s: +0.011,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3DD6FC0B003A08, Celsius: 61, A: -8.10, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ED8FC06003A08, Celsius: 62, A: -8.08, rev/s: +0.017,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3DD4FC0C003A08, Celsius: 61, A: -8.12, rev/s: +0.033,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ED1FC0D003A08, Celsius: 62, A: -8.15, rev/s: +0.036,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ECFFCFCFF3A08, Celsius: 62, A: -8.17, rev/s: -0.011,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ED2FC02003A08, Celsius: 62, A: -8.14, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ED5FCFAFF3A08, Celsius: 62, A: -8.11, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:36 ID: 241, Data: 9C3ED5FC00003A08, Celsius: 62, A: -8.11, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3ED7FCF6FF3A08, Celsius: 62, A: -8.09, rev/s: -0.028,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3ED7FCE8FF3A08, Celsius: 62, A: -8.09, rev/s: -0.067,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3ED7FCFAFF3A08, Celsius: 62, A: -8.09, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3ED5FC08003A08, Celsius: 62, A: -8.11, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3FD9FC0F003A08, Celsius: 63, A: -8.07, rev/s: +0.042,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3EDCFCF7FF3A08, Celsius: 62, A: -8.04, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3FDEFCFBFF3A08, Celsius: 63, A: -8.02, rev/s: -0.014,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3FDCFC07003A08, Celsius: 63, A: -8.04, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3FDCFC04003A08, Celsius: 63, A: -8.04, rev/s: +0.011,  rev: +5.850
2024/04/15 14:49:37 ID: 241, Data: 9C3FDCFC08003A08, Celsius: 63, A: -8.04, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FE0FCF9FF3A08, Celsius: 63, A: -8.00, rev/s: -0.019,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FDDFCF8FF3A08, Celsius: 63, A: -8.03, rev/s: -0.022,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FE3FC0B003A08, Celsius: 63, A: -7.97, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FDFFC03003A08, Celsius: 63, A: -8.01, rev/s: +0.008,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FDCFC00003A08, Celsius: 63, A: -8.04, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FE1FCFEFF3A08, Celsius: 63, A: -7.99, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C3FD7FCF7FF3A08, Celsius: 63, A: -8.09, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C40D0FC0B003A08, Celsius: 64, A: -8.16, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:38 ID: 241, Data: 9C40E2FCF2FF3A08, Celsius: 64, A: -7.98, rev/s: -0.039,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E5FCFCFF3A08, Celsius: 64, A: -7.95, rev/s: -0.011,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E2FC0A003A08, Celsius: 64, A: -7.98, rev/s: +0.028,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E6FC00003A08, Celsius: 64, A: -7.94, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E4FC08003A08, Celsius: 64, A: -7.96, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E4FCFEFF3A08, Celsius: 64, A: -7.96, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E2FC11003A08, Celsius: 64, A: -7.98, rev/s: +0.047,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E8FC02003A08, Celsius: 64, A: -7.92, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E7FCFBFF3A08, Celsius: 64, A: -7.93, rev/s: -0.014,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C40E5FC07003A08, Celsius: 64, A: -7.95, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:39 ID: 241, Data: 9C41E2FCFFFF3A08, Celsius: 65, A: -7.98, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41E8FC14003A08, Celsius: 65, A: -7.92, rev/s: +0.056,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41EBFCFAFF3A08, Celsius: 65, A: -7.89, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41E8FCF2FF3A08, Celsius: 65, A: -7.92, rev/s: -0.039,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41EAFC0D003A08, Celsius: 65, A: -7.90, rev/s: +0.036,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41E9FCEAFF3A08, Celsius: 65, A: -7.91, rev/s: -0.061,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41E9FC08003A08, Celsius: 65, A: -7.91, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41EAFC0C003A08, Celsius: 65, A: -7.90, rev/s: +0.033,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C41EAFC0A003A08, Celsius: 65, A: -7.90, rev/s: +0.028,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C42E9FCFEFF3A08, Celsius: 66, A: -7.91, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:40 ID: 241, Data: 9C42EAFC12003A08, Celsius: 66, A: -7.90, rev/s: +0.050,  rev: +5.850
2024/04/15 14:49:41 ID: 241, Data: 9C42EFFC05003A08, Celsius: 66, A: -7.85, rev/s: +0.014,  rev: +5.850
