2024/04/15 15:22:20 ID: 241, Data: 9C4AE2020900840B, Celsius: 74, A: +7.38, rev/s: +0.025,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4AE3020B00840B, Celsius: 74, A: +7.39, rev/s: +0.031,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4BE3020400840B, Celsius: 75, A: +7.39, rev/s: +0.011,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4AE102F2FF840B, Celsius: 74, A: +7.37, rev/s: -0.039,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4BE202F9FF840B, Celsius: 75, A: +7.38, rev/s: -0.019,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4BE202E9FF840B, Celsius: 75, A: +7.38, rev/s: -0.064,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4AE1021E00840B, Celsius: 74, A: +7.37, rev/s: +0.083,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4BEA024C00890B, Celsius: 75, A: +7.46, rev/s: +0.211,  rev: +8.203
2024/04/15 15:22:21 ID: 241, Data: 9C4B1D012405BC0B, Celsius: 75, A: +2.85, rev/s: +3.656,  rev: +8.344
2024/04/15 15:22:21 ID: 241, Data: 9C4B9C02B701F50B, Celsius: 75, A: +6.68, rev/s: +1.219,  rev: +8.503
2024/04/15 15:22:21 ID: 241, Data: 9C4C54017F04440C, Celsius: 76, A: +3.40, rev/s: +3.197,  rev: +8.722
2024/04/15 15:22:21 ID: 241, Data: 9C4CA8029D01760C, Celsius: 76, A: +6.80, rev/s: +1.147,  rev: +8.861
2024/04/15 15:22:21 ID: 241, Data: 9C4C59028601C60C, Celsius: 76, A: +6.01, rev/s: +1.083,  rev: +9.083
